Board,InputChannel,SoftwareChannel,ChannelType,ChannelName,NumDevicesInChannel,IsAmplified,IsDead,ChannelPosX,ChannelPosY,ChargeMCChannelMap
0,0,0,TileStrip,X1-12,12,TRUE,FALSE,-25.5,0,"1,2,3,4,5,6,7,8,9,10,11,12"
0,1,1,TileStrip,X13,1,TRUE,FALSE,-7.5,0,13
0,2,2,TileStrip,X14,1,TRUE,FALSE,-4.5,0,14
0,3,3,TileStrip,X15,1,TRUE,FALSE,-1.5,0,15
0,4,4,TileStrip,X16,1,TRUE,FALSE,1.5,0,16
0,5,5,TileStrip,X17,1,TRUE,FALSE,4.5,0,17
0,6,6,TileStrip,X18,1,TRUE,FALSE,7.5,0,18
0,7,7,TileStrip,X19,1,TRUE,FALSE,10.5,0,19
0,8,8,TileStrip,X20,1,TRUE,FALSE,13.5,0,20
0,9,9,TileStrip,X21,1,TRUE,FALSE,16.5,0,21
0,10,10,TileStrip,X22,1,TRUE,FALSE,19.5,0,22
0,11,11,TileStrip,X23/24,2,TRUE,FALSE,24,0,"23,24"
0,12,12,TileStrip,X25/26,2,TRUE,FALSE,30,0,"25,26"
0,13,13,TileStrip,X27/28,2,TRUE,FALSE,36,0,"27,28"
0,14,14,TileStrip,X29/30,2,TRUE,FALSE,42,0,"29,30"
0,15,15,SiPM,1-3,2,FALSE,FALSE,-1000,-1000,None
1,0,16,TileStrip,Y1-10,10,TRUE,FALSE,0,-28.5,"33,34,35,36,37,38,39,40,41,42"
1,1,17,TileStrip,Y11,1,TRUE,FALSE,0,-13.5,43
1,2,18,TileStrip,Y12,1,TRUE,FALSE,0,-10.5,44
1,3,19,TileStrip,Y13,1,TRUE,FALSE,0,-7.5,45
1,4,20,TileStrip,Y14,1,TRUE,FALSE,0,-4.5,46
1,5,21,TileStrip,Y15,1,TRUE,FALSE,0,-1.5,47
1,6,22,TileStrip,Y16,1,TRUE,FALSE,0,1.5,48
1,7,23,TileStrip,Y17,1,TRUE,FALSE,0,4.5,49
1,8,24,TileStrip,Y18,1,TRUE,FALSE,0,7.5,50
1,9,25,TileStrip,Y19,1,TRUE,FALSE,0,10.5,51
1,10,26,TileStrip,Y20,1,TRUE,FALSE,0,13.5,52
1,11,27,TileStrip,Y21/22,2,TRUE,FALSE,0,18,"53,54"
1,12,28,TileStrip,Y23/24,2,TRUE,FALSE,0,24,"55,56"
1,13,29,TileStrip,Y25/26,2,TRUE,FALSE,0,30,"57,58"
1,14,30,TileStrip,Y27/28,2,TRUE,FALSE,0,36,"59,60"
1,15,31,TileStrip,Y29/30,2,TRUE,FALSE,0,42,"61,62"
