,ChannelName,Calibration,DecayTime,RMS_keV,RMS_keV sigma
0,Y1/2,1.582783039,516.500321,43.001056,3.227455
1,Y3/4,1.147900042,583.147572,20.401463,1.114925
2,Y5,1,572.8090464,20.924138,1.135735
3,Y7/8,1.217440847,551.4464519,20.451969,1.111658
4,Y9/10,2.115413985,648.4744814,8.854004,0.56432
5,Y11/12,2.576537841,665.0864587,8.830371,0.610696
6,Y13/14,2.158027694,669.141947,8.898265,0.569978
7,Y15/16,2.049226329,497.282445,8.610739,0.524468
8,Y17/18,0.988593443,495.8539344,20.09018,1.087208
9,Y19/20,1.141946672,490.2204429,20.767843,1.099497
10,Y21/22,1.078963684,553.1536047,21.655278,1.152086
11,Y23/24,1.275201055,544.9167394,20.806659,1.103967
12,Y25/26,1.256050832,562.5013019,23.729976,1.319759
13,Y27/28,2.101656075,518.0768476,24.925436,1.449296
14,Y29/30,1.178454441,534.5338456,15,1.5
15,Y6,1,500,15,1.5
16,X1/2,0.846043662,512.3667585,38.427647,2.888755
17,X3/4,0.996283454,584.4639521,20.427801,1.114368
18,X5/6,1.130436518,551.219276,21.353911,1.130243
19,X7/8,1.036968188,589.037598,20.443485,1.131377
20,X9/10,2.700155294,687.3117549,7.574701,0.444984
21,X11/12,2.078888273,671.4234773,8.64051,0.557909
22,X13/14,2.358954458,671.489247,9.159058,0.566259
23,X15/16,2.098536752,672.5144239,8.740374,0.723035
24,X17/18,1.187228656,571.5142794,21.398611,1.195448
25,X19,0.953930932,541.5739816,20.882513,1.186432
26,X20,1.116142756,552.8489923,21.770624,1.161899
27,X21/22,1.062159393,570.9485425,24.990441,1.404009
28,X23,1.172892393,517.676949,23.780802,1.400996
29,X25/26,1.038541,500,25.045486,1.410798
30,X27/28,1.134154861,557.485332,23.916775,1.346593
31,X29/30,1.156700997,557.6977867,20.805862,1.178856
32,1-4,0.004863813,1e+09,0,0
33,2-1,0.006277464,1e+09,0,0
34,2-6,0.006877579,1e+09,0,0
35,1-1,0.004863813,1e+09,0,0
36,1-2,0.004863813,1e+09,0,0
37,1-3,0.004863813,1e+09,0,0
38,1-5,0.004863813,1e+09,0,0
39,1-6,0.004863813,1e+09,0,0
40,2-2,0.004863813,1e+09,0,0
41,2-3,0.004863813,1e+09,0,0
42,2-4,0.004863813,1e+09,0,0
43,2-5,0.004863813,1e+09,0,0
