,ChannelName,Calibration,DecayTime,RMS_keV,RMS_keV sigma
0,X1/2,1.275201055,516.500321,43.001056,3.227455
1,X3/4,2.101656075,583.147572,20.401463,1.114925
2,X5/6,1.178454441,550.0,20.924138,1.135735
3,X7/8,1.062159393,551.4464519,20.451969,1.111658
4,X9/10,1.172892393,648.4744814,8.854004,0.56432
5,X11/12,1.038541,665.0864587,8.830371,0.610696
6,X13/14,1.134154861,669.141947,8.898265,0.569978
7,X15/16,1.156700997,497.282445,8.610739,0.524468
8,X17/18,1.275201055,495.8539344,20.09018,1.087208
9,X19/20,2.101656075,490.2204429,20.767843,1.099497
10,X21/22,1.178454441,553.1536047,21.655278,1.152086
11,X23/24,1.062159393,544.9167394,20.806659,1.103967
12,X25/26,1.172892393,562.5013019,23.729976,1.319759
13,X27/28,1.038541,518.0768476,24.925436,1.449296
14,X29/30,1.134154861,534.5338456,15,1.5
15,X31/32,1.156700997,534.5338456,15,1.5
16,Y1/2,1.275201055,512.3667585,38.427647,2.888755
17,Y3/4,2.101656075,584.4639521,20.427801,1.114368
18,Y5/6,1.178454441,551.219276,21.353911,1.130243
19,Y7/8,1.062159393,589.037598,20.443485,1.131377
20,Y9/10,1.172892393,687.3117549,7.574701,0.444984
21,Y11/12,1.038541,671.4234773,8.64051,0.557909
22,Y13/14,1.134154861,671.489247,9.159058,0.566259
23,Y15/16,1.156700997,672.5144239,8.740374,0.723035
24,Y17/18,1.275201055,571.5142794,21.398611,1.195448
25,Y19/20,2.101656075,541.5739816,20.882513,1.186432
26,Y21/22,1.178454441,552.8489923,21.770624,1.161899
27,Y23/24,1.062159393,570.9485425,24.990441,1.404009
28,Y25/26,1.172892393,517.676949,23.780802,1.400996
29,Y27/28,1.038541,500,25.045486,1.410798
30,Y29/30,1.134154861,557.485332,23.916775,1.346593
31,Y31/32,1.156700997,557.6977867,20.805862,1.178856
32,1-1,0.,1.00E+09,0,0
33,1-2,0.00666,1.00E+09,0,0
34,1-3,0.,1.00E+09,0,0
35,1-4,0.00486381323,1.00E+09,0,0
36,1-5,0.,1.00E+09,0,0
37,1-6,0.,1.00E+09,0,0
38,2-1,0.,1.00E+09,0,0
39,2-2,0.006849315068,1.00E+09,0,0
40,2-3,0.006640106242,1.00E+09,0,0
41,2-4,0.,1.00E+09,0,0
42,2-5,0.006978367062,1.00E+09,0,0
43,2-6,0.006877579092,1.00E+09,0,0
