,ChannelName,Calibration,DecayTime,RMS_keV,RMS_keV sigma
0,X1/2,1,500,,
1,X3/4,1,500,,
2,X5/6,1,500,,
3,X7/8,1,500,,
4,X9/10,1,500,,
5,X11/12,1,500,,
6,X13/14,1,500,,
7,X15/16,1,500,,
8,X17/18,1,500,,
9,X19/20,1,500,,
10,X21/22,1,500,,
11,X23/24,1,500,,
12,X25/26,1,500,,
13,X27/28,1,500,,
14,X29/30,1,500,,
15,X31/32,1,500,,
16,Y1/2,1,500,,
17,Y3/4,1,500,,
18,Y5/6,1,500,,
19,Y7/8,1,500,,
20,Y9/10,1,500,,
21,Y11/12,1,500,,
22,Y13/14,1,500,,
23,Y15/16,1,500,,
24,Y17/18,1,500,,
25,Y19/20,1,500,,
26,Y21/22,1,500,,
27,Y23/24,1,500,,
28,Y25/26,1,500,,
29,Y27/28,1,500,,
30,Y29/30,1,500,,
31,Y31/32,1,500,,
32,1-1,1.,1.00E+09,0,0
33,1-2,1.,1.00E+09,0,0
34,1-3,1.,1.00E+09,0,0
35,1-4,1.,1.00E+09,0,0
36,1-5,1.,1.00E+09,0,0
37,1-6,1.,1.00E+09,0,0
38,2-1,1.,1.00E+09,0,0
39,2-2,1.,1.00E+09,0,0
40,2-3,1.,1.00E+09,0,0
41,2-4,1.,1.00E+09,0,0
42,2-5,1.,1.00E+09,0,0
43,2-6,1.,1.00E+09,0,0
