,ChannelName,Calibration,DecayTime,RMS_keV,RMS_keV sigma
0,X1/2,1.,500,43.001056,3.227455
1,X3/4,1,500,20.401463,1.114925
2,X5/6,1.,500,20.924138,1.135735
3,X7/8,1.,500,20.451969,1.111658
4,X9/10,1.,500,8.854004,0.56432
5,X11/12,1.,500,8.830371,0.610696
6,X13/14,1.,500,8.898265,0.569978
7,X15/16,1.,500,8.610739,0.524468
8,X17/18,1.,500,20.09018,1.087208
9,X19/20,1., 500,20.767843,1.099497
10,X21/22,1.,500,21.655278,1.152086
11,X23/24,1.,500,20.806659,1.103967
12,X25/26,1.,500,23.729976,1.319759
13,X27/28,1.,500,24.925436,1.449296
14,X29/30,1.,500,15,1.5
15,X31/32,1.,500,15,1.5
16,Y1/2,1.,500,38.427647,2.888755
17,Y3/4,1.,500,20.427801,1.114368
18,Y5/6,1.,500,21.353911,1.130243
19,Y7/8,1.,500,20.443485,1.131377
20,Y9/10,1.,500,7.574701,0.444984
21,Y11/12,1.,500,8.64051,0.557909
22,Y13/14,1.,500,9.159058,0.566259
23,Y15/16,1.,500,8.740374,0.723035
24,Y17/18,1.,500,21.398611,1.195448
25,Y19/20,1.,500,20.882513,1.186432
26,Y21/22,1.,500,21.770624,1.161899
27,Y23/24,1.,500,24.990441,1.404009
28,Y25/26,1.,500,23.780802,1.400996
29,Y27/28,1.,500,25.045486,1.410798
30,Y29/30,1.,500,23.916775,1.346593
31,Y31/32,1.,500,20.805862,1.178856
32,1-1,1.,1.00E+09,0,0
33,1-2,1.,1.00E+09,0,0
34,1-3,1.,1.00E+09,0,0
35,1-4,1.,1.00E+09,0,0
36,1-5,1.,1.00E+09,0,0
37,1-6,1.,1.00E+09,0,0
38,2-1,1.,1.00E+09,0,0
39,2-2,1.,1.00E+09,0,0
40,2-3,1.,1.00E+09,0,0
41,2-4,1.,1.00E+09,0,0
42,2-5,1.,1.00E+09,0,0
43,2-6,1.,1.00E+09,0,0
